tweet,timestamp,user_account,label_india,label_cti
"7887cea2962c954ccb60d005da03abcf68962517d1b3e3d2a472f5d952a03f8e
Decoy : ???? ??.hwp
*autoit3 hxxps://executivedaytona[.]com/wp-admin/js/widgets/hurryup/?rv=bear&amp;za=battle0
*NFHTmCb.au3
~battle1
#Apt37 #NorthKorea #lilithRat https://t.co/LJcUxSlrNu",Sat Jul 06 07:23:32 +0000 2024,Emmy Byrne,1,0
"@unpacker @suyog41 The victimology of this particular campaing suggests a possible overlap with APT37, since it's finalized to attack media sector or North Korea human rights activism",Fri Jul 05 12:08:21 +0000 2024,explorer.exe,1,0
#Konni #APT37 #DPRK #APT Related domain has been scanned to VT: hydroforcepumps[.]co[.]uk,Tue Jul 02 09:53:50 +0000 2024,Hunter For Fun,0,0
"can we try to define precisely what is Kimsuky from an analysis standpoint? I've seen many overlaps with APT37, from the objective of an attack to it's tradecraft.
#APT37 #Kimsuky",Mon Jul 01 16:27:29 +0000 2024,explorer.exe,0,0
"???_??????? ?????? ??.hwp.lnk
0aaec376904434197bae4f1a10ecfe8d4564d95fdfa8236ea960535710661c5f
#apt37 #NorthKorea",Fri Jun 28 02:56:46 +0000 2024,Emmy Byrne,0,Tes
"RokRAT, the payload executed by the .lnk files, is a powerful tool in the hands of APT37 threat actors. #APT37, aka Red Eyes, has targeted countries like #SouthKorea and #Japan with #phishing emails containing .lnk files disguised as PDFs.
#brandefense https://t.co/SXIhsyBc58 https://t.co/q0Ljr6cSfs",Thu Jun 27 12:36:34 +0000 2024,BRANDEFENSE | Digital Risk Protection Service,0,1
"SecAI's deep report about the infamous #ROKRAT, a North Korean state-sponsored #hacker group, also known as #APT37 or #ScarCruft, targeting South Korea and other regions.
Try it out: https://t.co/wvFS9O1qfs
#CyberSecurity #APT #IOC https://t.co/Bhn4JKuC5U",Fri Jun 21 02:23:12 +0000 2024,SecAI,1,1
"someone has the hashes of the autoit3 scripts executed with AutoIt3.exe by this two .lnk files?
- 3c81dc763a4f003ba6e33cd5b63068cd: https://t.co/l3B8GMydWa
- 4f865db4192afb5bbcdeb2e899ca97a4: https://t.co/OgJpP356ap
#APT37 #KONNI",Thu Jun 13 17:50:45 +0000 2024,explorer.exe,0,1
"#ROKRAT #APT37 #APT #IOC
ROKRAT
????? ???? ??(???????????).hwp.lnk
Guide to correcting value-added tax returns (Value-added tax processing regulations).hwp.lnk
0777cbcc96dd9a2d4319a4bf9404bba7
c97917b6c25f924f6dac40848d52940e [zip]
C2
sibbss[.]com https://t.co/4xfQUwuXEx",Tue Jun 11 06:00:12 +0000 2024,Yogesh Londhe,1,1
"@suyog41 I don't believe this is related to APT37 or ROKRAT. The objective of this malware is sending basic information and fetching additional payloads. I have not found any overlap with ebb764dc8aa586deaaae8aa56b82bb15
cfffb45df8f05d1cb5d9d95fd5a83e9e https://t.co/ECiQAvVh4d",Thu Jun 06 04:43:15 +0000 2024,Seongsu Park,0,1
"Mentioned #APT37 #Konni Samples
??https://t.co/nK3p1QMhxk
?? https://t.co/Dxo5iEG6hM",Wed Jun 05 11:02:28 +0000 2024,JAMESWT,0,1
"#APT #APT37 #RicochetChollima #ScarCruft #threat #malware #Konni
??????
??????
??#Phishing &gt; #MSI &gt; file drop &gt; #VBS + #BAT execution &gt; Service (wiasvc) creation + Persistence &gt; #C2 &gt; Upload Info
?? 360 Advanced Threat Research analysis: https://t.co/ly8PTzYTOP https://t.co/Rhfo5Zfck8",Mon Jun 03 06:34:22 +0000 2024,Aaron Jornet,1,1
"#APT #APT37
2222f1d7ccd05655f0492769bc54ec016679d59da258affa9b8686021fada59d
Decoy : ?????? ????? ??????? ???? ?? ???.hwp
hxxp://host[.]sharingdocument[.]one/dashboard/explore/starred?hwpview=2L50DTWU0J3FBRUS1K4GCSVT! https://t.co/j9HwxWEtR2",Fri May 24 10:02:50 +0000 2024,JangPro,0,1
"????? ???? ??
#APT37 #konni https://t.co/OVGln8QDYv",Thu May 23 08:07:54 +0000 2024,Emmy Byrne,1,1
KnowBe4 Exposes Remote Hiring Risks in Cybersecurity https://t.co/3U72x3GuPh #Imports,Tue Aug 20 14:42:34 +0000 2024,CTI Technology,1,1
@0thayyab0 @CTI_Funding @LaoRennz @baigg91 @K29_BREAKER @99Auslander all done,Tue Aug 20 14:41:47 +0000 2024,hengki wg,1,1
"@the_marketmogul @CTI_Funding @TopGTradez @easykoncepts
@pulii1090
@lokofx_official",Tue Aug 20 14:41:46 +0000 2024,Henry,1,1
"We're hiring DFIR/CTI investigators and analysts for Accenture's customer facing incident response. Senior DFIR investigator : https://t.co/M64V1QUxoY
IR focused CTI lead: https://t.co/8nnZC8Hc7D
IR focused CTI analyst: https://t.co/Dr68wDxUsf
#dfir #hiring #cti",Tue Aug 20 14:34:40 +0000 2024,Jeff Beley,0,1
"/????/?????, CPCC®?CTI?????? ??????????????????????????????????????????????????????????????????????????????
???????????
????????????????????????????????#?? #?? https://t.co/u4Cv6k5s91",Tue Aug 20 14:35:35 +0000 2024,Kie,0,1
Fx @0thayyab0 @CTI_Funding @remixatlantis @69Euan @iamstranger007,Tue Aug 20 14:40:09 +0000 2024,Remedy,0,1
"?? Newly discovered Styx Stealer Infostealer is targeting passwords, cookies, and autofill data in Chromium &amp; Gecko-based browsers, plus crypto wallets, Telegram, and Discord sessions. Exploits CVE-2023-36025 in Windows Defender SmartScreen.
#infostealer #malware https://t.co/EWzWns4zJI",Tue Aug 20 14:38:59 +0000 2024,Foresiet Threat Intelligence Feed,0,1
"La evolución del malware en los últimos 20 años:https://t.co/aIpY2kovIZ
#cstictv #malware https://t.co/cx4umY5Ahh",Tue Aug 20 14:33:22 +0000 2024,CS TIC TV,1,1
CreateStudio 3 Premium v3.4.1 Full Activated – Video Animation Maker – Discount 100% OFF https://t.co/Fx9EgMmSRd #infosec #bugcrowd #bugbountytips #bugbountytip #CyberSecurity #100DaysOfCode #Malware #CodeNewbie #BugHunter #Javascript via @3XS0,Tue Aug 20 14:32:32 +0000 2024,Goddess Aunty,1,1
"The #malware was delivered via a GoogleDrive URL leading to a ZIP archive named “Podcast Plan-2024[.]zip”.
The ZIP contained an LNK titled “Podcast Plan 2024.lnk”.
The LNK delivered the BlackSmith toolset which eventually loaded TA453’s AnvilEcho Powershell Trojan.",Tue Aug 20 14:31:02 +0000 2024,Threat Insight,1,1
"?Specialized in all recovery/disabled accounts, Web3 developer, Spy ??????|Private Investigation, TI's, Crypto recovery? #spam #elsed #bist100 #hisse #dizipal #astor #borsa #zagabet #r
inabet #privacy #yrkkh #naagin #infosec #hackathon #kalilinux #malware #TargetedIndividuals https://t.co/VnIMJ4mipt",Tue Aug 20 14:28:22 +0000 2024,Kelvin tech pro,1,1
"¡Alerta de ciberseguridad! UULoader, un instalador malicioso, está distribuyendo Gh0st RAT y Mimikatz en Asia Oriental. Descubre cómo se evade la detección y las implicaciones para la seguridad global. ???? #Ciberseguridad #Malware
Lee más: https://t.co/3icSAez43K https://t.co/RdIzyk5lva",Tue Aug 20 14:15:56 +0000 2024,Fantasma digital ??,1,1
ValleyRAT Multietapa Apunta a Usuarios Chinos con Tácticas Avanzadas - https://t.co/9oGKsoJYEX #NewsBenderDaily #Malware,Tue Aug 20 14:10:21 +0000 2024,News Bender Daily,1,1
How a faulty CrowdStrike update crashed computers around the world. @ABCNews #Tech #Technology #Computers #ComputerRepair #IT #InformationTechnology #Meridian #Virus #ComputerVirus #Malware https://t.co/jwex8couxR,Tue Aug 20 14:09:29 +0000 2024,Jacob Van Vliet,0,1
"Open Vault: CryptoJacked!
EternalMiner - Box design for crypto mining malware.
https://t.co/3un98zElRZ
#cyberwarfare #cryptojacking #retail #openvault #installationdesign #malware #phillipstearns https://t.co/4LIJtYYnLL",Tue Aug 20 14:00:05 +0000 2024,Phillip D Stearns,1,1
"#vidar #malware
3 VT detections
https://t.co/DOcjV2buOJ",Tue Aug 20 13:49:58 +0000 2024,Neiki,0,1
"Cybercriminals Exploit Popular Software Searches to Spread #FakeBat #Malware
https://t.co/uDbtbyJ5lc
Researchers uncover surge in infections stemming from #malvertising campaigns.
#CyberSecurity #InfoSec #CyberCrime #EugenLoader #PaykLoader #Eugenfest #NUMOZYLOD #UNC4536 #MaaS",Tue Aug 20 13:46:58 +0000 2024,LaneSystems Ltd,0,1
"A new type of malware called UULoader is being used by threat actors to deliver next-stage payloads like Gh0st RAT and Mimikatz.
#CybersecurityNews #cybersecuritytips #CyberSecurity #malware #hacking https://t.co/NId5VvMifr",Tue Aug 20 13:36:17 +0000 2024,PH HACKER ???,1,1
Hackers aprovechan vulnerabilidad de PHP para desplegar puerta trasera sigilosa Msupedge - https://t.co/8wQ8PV1hgy #NewsBenderDaily #Malware,Tue Aug 20 13:25:20 +0000 2024,News Bender Daily,1,1
"UKRAINIAN INTELLIGENCE HACKS RUSSIAN DEFENSE INFORMATION, MOSCOW ATTACKS SUMY. #UkrainianIntelligence #RussianDefense #CyberAttack #Sumy #RussiaUkraineConflict #MilitaryNews https://t.co/EXXSB4OcP5",Sun Aug 25 10:26:16 +0000 2024,The daily news wire,0,1
?? Alert : UserSec claims to target France ?? A recent post by the group indicates that they are targeting France. #France #cyberattack #infosec #threatintel https://t.co/iy2AoENcD6,Sun Aug 25 09:56:03 +0000 2024,FalconFeeds.io,0,1
"Explore the #APT36 updated arsenal. Learn about a previously undocumented Windows RAT, new Linux attack vectors, and distribution methods targeting government sectors in #India ????. Read our full report here: https://t.co/0F00XXPr9A
#CybersecurityNews https://t.co/0bpDJwBSzN",Tue Sep 12 20:27:14 +0000 2023,Zscaler ThreatLabz,0,1
"The notorious Transparent Tribe threat group threatens to attack the Indian education sector by launching the Crimson RAT.
#TransparentTribe #APT36 #CyberThreat #India #Academic #ThreatGroup #CrimsonRAT #Malware https://t.co/QKA8BTIaMT",Sat Apr 22 15:00:52 +0000 2023,iZOOlogic,1,1
"#India ???? - Threat Actor Claims Ransomware Attack on Glaze Trading India, Allegedly Stealing 12TB of Data
https://t.co/kFhdq4tR6M
#DarkWeb #databreach #ransomware #cyberattack https://t.co/CYg0UHBDJK",Mon Aug 19 13:07:55 +0000 2024,Dark Web Intelligence,0,1
"?? DDoS Alert ??
Kerala Cyber Xtractors claims to have targeted the website of Netaji Subhas Chandra Bose International Airport.
NB: site is up and active
#India
#ddos #cyberattack #cti #threatintel https://t.co/69sakMIoiq",Mon Aug 19 23:56:07 +0000 2024,FalconFeeds.io,0,1
"??Alert ??
Systemadminbd Official claims to have defaced the website of Zee Media Corporation Limited.
#India
#Defacement #cyberattack #cti #threatintel https://t.co/SP4VS479CU",Wed Aug 21 17:38:26 +0000 2024,FalconFeeds.io,1,1
"?? DDoS Alert ??
SERVER KILLERS claims to have targeted the website of Bank of India.
NB: site is up and active
#India
#ddos #cyberattack #cti #threatintel https://t.co/EWZwoBUI65",Sat Aug 24 19:00:10 +0000 2024,FalconFeeds.io,1,1
KillSec has announced 3 new victims on its blog site. #USA ???? - School Rush! #Kenya ?? - Instadriver #India ??#DarkWeb #cyberattack,Mon Aug 26 0 04:53:21 +0000 2024,India Cyber Security News,1,1
How Telegram became India's 'dark web lite' https://t.co/gAoTSFSdaQ… #India #Telegram #DarkWeb #darknet #security #vulnerability #2fa #RCE #ZeroTrust #ZeroDay #cybercrime #hacker #privacy #APT #bot #CISO #DDoS #hacking #phishing #CyberAttack #cybersecurity #Security #infosec,Tue Aug 27 07:31:52 +0000 2024,India Cyber Security News,0,1
"Contact center platform Exotel confirmed it was hit by a data breach at its cloud infrastructure in Singapore. Zomato, Khatabook, and others may have bee
n affected.
@entrackr @upadhyay_harsh1 @zomato @Khatabook
#cybersecurity #cyberattack #databreach #india https://t.co/2uJHDOFSnA",Tue Aug 27 10:32:32 +0000 2024,?????????? ????????,0,1
"?? DDoS Alert ??
Bangladesh dark net claims to have targeted the website of Tata Motors.
NB: site is down at the moment
#India
#ddos #cyberattack #cti #threatintel https://t.co/60Dkn6OBme",Tue Aug 27 11:10:35 +0000 2024,FalconFeeds.io,1,1
"?????????? ???????? Chinese hackers exploited a zero-day vulnerability in Versa Networks' software and compromised multiple internet companies, according to researchers at L umen. @straits_times @lumentechco @BlackLotusLabs @versanetworks @CISAgov #cybersecurity #cyberattack #infosec #china #india https://t.co/0rXDlxgb9V",Wed Aug 28 10:10:53 +0000 2024,?????????? ????????,1,1
"FalconFeeds.io ?? DDoS Alert ??
RipperSec claims to have targeted the website of Karnataka Bank
NB: site is down at the moment
#India
#ddos #CyberAttack #threatintel #CTI https://t.co/NrDa9n84tk",Thu Aug 29 03:22:30 +0000 2024,FalconFeeds.io,0,1
"?? DDoS Alert ??
CYB3R ST0RM claims to have targeted the website of Government of National Capital Territory of Delhi.
NB: site is up and active
#India
#ddos #CyberAttack #threatintel #cti https://t.co/ZdajnuI59W",Sun Sep 01 11:28:44 +0000 2024,FalconFeeds.io,1,1
"?? The Economic Times covers #cyberattack trends in #India in Q2 2024 based on our latest ""State of AppSec Report.""
?? Explore the findings on the surge of #DDoS, #Bot and #API attacks.
(Link in treads)
#securitynews #securitytrends #cybertrends #cybersecurity https://t.co/X84SvXuUMQ",Tue Sep 03 04:43:48 +0000 2024,Indusface,1,1
"?? Alert: RipperSec Issues Warning to India ??

The hacktivist group RipperSec has announced plans to target India.

#India
#cti #threatintel #infosec #Cyberattack https://t.co/VSnfVzgL1b",Thu Sep 05 03:08:50 +0000 2024,FalconFeeds.io,1,1
"#Israel ???? - Alleged Cyber Attack on Countries Supporting Israel
The post names the #US, #Argentina, #Canada, #France, #India, Israel, #SouthAfrica, #Italy, #Spain, and the #UAE.
https://t.co/QHosog3exI
#cyberattack #telegram #darkweb https://t.co/f2ztsC2kiG",Thu Sep 05 15:01:00 +0000 2024,Dark Web Intelligence,1,1
"?? Alert : NIXON CYBER TEAM claims to target India ?? 

A recent post by the group indicates that they are targeting India.

#India
#cyberattack #infosec #threatintel https://t.co/w9NIRqM6S8",Thu Sep 05 22:41:41 +0000 2024,FalconFeeds.io,0,1
"#India ???? - Dark Spot team has announced its union with other hacker groups, including Dark Echo, Major Exploit, Byte Force, Moroccan Dragons.
The group cites the union's purpose as attacking India.
#DarkWeb #cyberattack https://t.co/4SL0wjw1HZ",Fri Sep 06 22:00:00 +0000 2024,Dark Web Intelligence,1,1
"?? Data Breach Alert ??
A member of BreachForums has posted about a significant data breach involving Indian Academy of Pediatrics. The leak, reportedly containing 38,000 members data, which includes Name, Phone Number, Email, Job title, etc.
#India #Cyberattack #Databreach https://t.co/l2XSNZwcOI",Sat Sep 07 18:42:31 +0000 2024,FalconFeeds.io,1,1
?? DDoS Alert ?? Al Ahad claims to have targeted the website of Central Bureau of Investigation (CBI). #India #ddos #CyberAttack #threatintel #cti https://t.co/KXaHv4YpgZ,Mon Sep 09 10:02:43 +0000 2024,FalconFeeds.io,0,1
"New claim on the shame-site for #ransomware / #datatheft group #RansomHub.
Organization: Indraprastha Institute of Information Technology, Delhi
Location: #India
Industry: #HigherEducation
Staff: 51-200 employees
Learn more at https://t.co/nVcU8y8Rj3",Fri Aug 30 14:55:02 +0000 2024,Threat and Risk Intelligence Services - eCrime.ch,0,1
"New claim on the shame-site for #ransomware / #datatheft group #HuntersInternational. Organization: Crimson Interactive Pvt. Ltd. Location: #India Industry: #TechnologyInformationAndInternet Staff: 501-1,000 employees Learn more at https://t.co/nVcU8y8Rj3",Fri Aug 23 11:25:14 +0000 2024,Threat and Risk Intelligence Services - eCrime.ch,0,1
New claim on the shame-site for #ransomware / #datatheft group #KillSecurity. Organization: Level Fit Tech Pvt. Ltd. Location: #India Industry: #WellnessAndFitnessServices Staff: 11-50 employees Learn more at https://t.co/nVcU8y8Rj3,Thu Aug 22 14:35:09 +0000 2024,Threat and Risk Intelligence Services - eCrime.ch,0,1
"The New Ransomware Victim of KILLSEC: https://t.co/IIWzbNPJlk
---- DailyDarkWeb ------
Group: #KILLSEC
Company: https://t.co/IIWzbNPJlk
Country: #India
Date: 2024-08-21
#DarkWeb #CyberSecurity #ransomware #victim",Wed Aug 21 13:02:32 +0000 2024,DailyRansomware,0,1
"-Fake Apps Target Beneficiaries of India's Prime Minister Kisan Yojana ??
What do you think about this alert?
#Cybersecurity #CyberBriefing #Ransomware #Crypto #AI #TechNews #DigitalBanking #InformationSecurity #India #Modi https://t.co/gm5bEN3i8d",Mon Aug 19 15:30:47 +0000 2024,? ??? CyberMaterial ? Cyber Alerts brought to you by 911Cyber. ??,0,1
"#India ???? - Threat Actor Claims Ransomware Attack on Glaze Trading India, Allegedly Stealing 12TB of Data
https://t.co/kFhdq4tR6M
#DarkWeb #databreach #ransomware #cyberattack https://t.co/CYg0UHBDJK",Mon Aug 19 13:07:55 +0000 2024,Dark Web Intelligence,1,1
"The New Ransomware Victim of RANSOMEXX: Brontoo Technology Solutions
---- DailyDarkWeb ------
Group: #RANSOMEXX
Company: Brontoo Technology Solutions
Country: #India
Date: 2024-08-10
#DarkWeb #CyberSecurity #ransomware #victim",Sun Aug 11 10:02:36 +0000 2024,DailyRansomware,1,1
"New claim on the shame-site for #ransomware / #datatheft group #Defray777.
Organization: Brontoo Technology Solutions India Pvt. Ltd.
Location: #India
Industry: #SoftwareDevelopment
Learn more at https://t.co/nVcU8y8Rj3",Sat Aug 10 14:30:07 +0000 2024,Threat and Risk Intelligence Services - eCrime.ch,1,1
"New claim on the shame-site for #ransomware / #datatheft group #HuntersInternational.
Organization: Khandelwal Laboratories Pvt. Ltd.
Location: #India
Industry: #PharmaceuticalManufacturing
Staff: 501-1,000 employees
Learn more at https://t.co/nVcU8y8Rj3",Fri Aug 02 20:25:12 +0000 2024,Threat and Risk Intelligence Services - eCrime.ch,1,1
"Nearly 300 small Indian banks hit by a ransomware attack are back online after a temporary shutdown. The shutdown affected about 20% of the country’s cooperative and rural banks. ??????
#Ransomware #Banking #India
https://t.co/OE5YJCttn2",Fri Aug 02 13:30:01 +0000 2024,Cyber News Live,1,1
"?? Alert: Anonymous Guys Issues Warning to India ??
The hacktivist group Anonymous Guys has issued a warning to the Indian government, threatening to launch cyberattacks on Indian educational institutions, infrastructure, and other.
#india
#cti #threatintel #infosec https://t.co/0TXkJGikrA",Sat Aug 31 11:42:12 +0000 2024,FalconFeeds.io,1,0
"?? A threat actor on a #Darkweb forum allegedly selling data from the ""Ministry of Law &amp; Justice"" ????
?? Leak Date: 2024
?? Lines: 5,122
?? Type: CSV
?? Website: [https://t.co/kZzzjvbPGZ]
#India #Databreach #CTI https://t.co/6jjzbaHzc6",Fri Aug 30 20:50:39 +0000 2024,cyberundergroundfeed,1,1
"?? A threat actor on a #Darkweb forum has allegedly hacked the Indian government website https://t.co/kZzzjvbhRr, the official portal for notary services under the Legal Affairs Department of the Ministry of Law and Justice.
#Databreach #India #CTI https://t.co/ZllVVd50IM",Wed Aug 28 06:34:07 +0000 2024,cyberundergroundfeed,1,1
"???? Alleged Access Sale to Catchnews
A threat actor claimed to have put the database and access to Catchnews for sale. The database is allegedly 42 GB in size.
#India #Catchnews #Access #Dataleak #Darkweb #CTI https://t.co/YOYwE7bGY8",Fri May 17 09:04:43 +0000 2024,ThreatMon,0,1
"?? DDoS Alert ??
RipperSec claims to have targeted the website of Reserve Bank of India.
NB: site is down at the moment
#India
#ddos #cyberattack #cti #threatinte https://t.co/QAIOVKJkcZ",Sat Aug 10 09:02:53 +0000 2024,FalconFeeds.io,1,1
"How Telegram became India's 'dark web lite'
https://t.co/8BfzIn104d
#India #Telegram #DarkWeb #darknet #security #vulnerability #2fa #RCE #ZeroTrust #ZeroDay #cybercrime #hacker #privacy #APT #bot #CISO #DDoS #hacking #phishing #CyberAttack #cybersecurity #Security #infosec",Tue Aug 27 01:20:35 +0000 2024,???????????? ??????????????????????????,1,1
"Average cost of data breaches in #India hits $2.18 million: #RBI report!
https://t.co/KOQLIC1tiB
#vulnerability #2fa #RCE #ZeroTrust #ZeroDay #cybercrime #hacker #privacy #APT #bot #CISO #DDoS #hacking #phishing #CyberAttack #cybersecurity #Security #infosec #AppSec #CyberSec",Tue Jul 30 01:55:46 +0000 2024,???????????? ??????????????????????????,1,1
"#Apple issues two fresh Pegasus-like spyware alerts in India
https://t.co/dKv35Q721h
#Pegasus #India #spyware #espionage #tech #vulnerability #2fa #RCE #ZeroTrust #ZeroDay #cybercrime #hacker #privacy #APT #bot #CISO #DDoS #hacking #phishing #CyberAttack #cybersecurity",Thu Jul 11 01:55:06 +0000 2024,???????????? ??????????????????????????,1,1
"#Cyber/#Online Frauds on the Rise,
so is Road Rage cases in #India.

Pls Save these Help line Numbers :
? Cyber/Online /Banking Frauds: 1930?
? Accident, Road Rage &amp; all other Emergency : 112 ?

#Bengaluru ppl beware on @WhatsApp msgs appearing to be from #BESCOM #BWSSB #BBMP",Fri Aug 23 03:00:20 +0000 2024,Mahesh.BR,1,1
"Australia’s proposal to set a minimum #socialmedia age (14-16) sparks debate worldwide. 

Should #India follow suit to protect youth from #cyber risks and promote healthier social interactions? #DigitalSafety

Read here to know more https://t.co/CegbXqgTgx",Fri Sep 13 14:53:05 +0000 2024,News Trail,1,1
"India Jumps to Tier 1 in Global Cybersecurity Index 2024 Amid Rising Threats of Ransomware Attacks and Cyber Breaches
https://t.co/xqFQfGT5Re
#Cybersecurity #CyberThreats #Cyber #Ransomware #CyberBreaches #DataBreaches #India #GCI2024 #GlobalCybersecurityIndex",Fri Sep 13 05:43:15 +0000 2024,LatestLY,0,0
"This August, more than 4,200 students and 300 educators and from #India ???? and 35 other countries participated in @UNODC's practical classroom interventions on themes including integrity and #ethics, mental health, #gender equality &amp; #cyber safety https://t.co/TC80760kgo",Wed Sep 11 11:38:28 +0000 2024,United Nations in India,1,1
"#India and #Estonia unite in #cyber cooperation, balancing global diplomacy with cutting-edge tech innovation. A strategic partnership is being forged for a secure digital future, note @SameerP_IND &amp; Aneesh Parnerkar https://t.co/EkmSsIptVg #CyberSecurity #DigitalIndia",Wed Sep 11 10:30:00 +0000 2024,ORF GeoTech,1,1
"5,000 #cyber commandos to be ready in 5 years to safeguard #India against rising #cyberthreats. #CyberSecurity is national security—essential for the nation's growth &amp; safety. A strong, secure digital future is on the horizon.
#DigitalIndia
#DigitalDetox
#debate2024
#????_?????? https://t.co/PqpVRTWDZp",Wed Sep 11 05:46:29 +0000 2024,Kyra,1,1
"Check out my latest article: The AI Integration in the New Indian Criminal Laws (BNS, BNSS, &amp; BSA) - K. Jaishankar https://t.co/R4T1o4HcYc via @LinkedIn @BritSocCrim #law #ai #ArtificialIntelligence #crime #victim #india #socilogy #criminology #politics #judiciary #cyber","K. Jaishankar, PhD",Sat Sep 07 11:11:45 +0000 2024,1,1
"#India launches online 'suspect registry', 1.4 mn listed for financial #fraud

https://t.co/ITQzK8kw2T

#scammers #scamming #ScamAlert #vulnerability #2fa #RCE #ZeroTrust #ZeroDay #cybercrime #hacker #privacy #APT #bot #CISO #DDoS #hacking #phishing #CyberAttack #cybersecurity",???????????? ??????????????????????????,Fri Sep 13 01:36:16 +0000 2024,1,1
